Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review,review_length,Sentiment,Cleaned_Review
10,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,waiters denied to serve the food,6,Positive,waiter denied serve food
11,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,not tasty today food ,4,Positive,tasty today food
12,Unlocked,4.0,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","1,200",ahmedabad,potion size has reduced. quality of food is nice ,9,Positive,potion size reduced quality food nice
13,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,Zomato shows 15% off on dining bill and the owner says we can offer 15% discount only if the bill is a minimum of Rs. 1000. Zomato doesn't mention any such thing but these guys have their own rules.What a joke! Customer banne se pehle hi customer tut gaya. ,49,Positive,zomato show dining bill owner say offer discount bill minimum zomato doesnt mention thing guy ruleswhat joke customer banne pehle customer tut gaya
14,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,"I received the delivery 15 minutes late, but it was worth👍👍",11,Positive,received delivery minute late worth
15,Novelchef Cafe & Lounge,4.2,"Cafe, Continental, Italian, Fast Food, Desserts, Beverages",950,ahmedabad,"Tried a new quiet amazing place after quite some time and I’ll just say that I LOVED IT. Food, ambience and Anurag Pandey ji ki service aaayyhayyyhayyhayyy 🫶🏻 maza aa gaya 🎉",32,Positive,tried new quiet amazing place quite time ill say loved food ambience anurag pandey service aaayyhayyyhayyhayyy maza gaya
16,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,New concept of the cafe is quiet appealing that’s game+foodLike the food here Have visited this cafe several times Previously it used to b so much chaotic which was a minus point but now I think that is managed Every item v ordered here so far is yummy so far no complaints They have recently made changes in menu which I think is trouble becoz very short menu by far but I would appreciate that they manage to make a whole wheat paratha in place of all purpose flour in their combos Secondly their Mexican Buddha bowl is so yum,100,Positive,new concept cafe quiet appealing thats gamefoodlike food visited cafe several time previously used much chaotic minus point think managed every item ordered far yummy far complaint recently made change menu think trouble becoz short menu far would appreciate manage make whole wheat paratha place purpose flour combo secondly mexican buddha bowl yum
17,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,"okay-ish cafe, only go here if you're interest in video games and have a large friend group. I had kitkat shake, it turned out, again, okay.",26,Positive,okayish cafe youre interest video game large friend group kitkat shake turned okay
18,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,Drooling Food 😋🤤Most #Instagrammable Cafe of #Ahmedabad@xerodegrees_india What I have tried Here ✅Cheesy margarita pizzaMango mint coolerCheese balls friesF.R.I.E.N.D sliders Nutella oreo shakeDo visit this Place with your friends & Family !,32,Positive,drooling food instagrammable cafe ahmedabadxerodegreesindia tried cheesy margarita pizzamango mint coolercheese ball friesfriend slider nutella oreo shakedo visit place friend family
19,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"Favourite place for hangout with friends nearby SBRLove there Fries, Mocktail’s & shakes Best 6 items to try out at here 💌- Peri Peri Cheesy Fries 💜- Makhni Paneer Heart Shape Pizza 💙- American Cheese Burger 🖤- Friends Sliders 💛- Kwi Coolers 💚- Choco Brownie Freak shake 🤎Xero Degrees is a casual fast food cafe serving American cuisine 💙Ultimate destination for finger-licking food ✅",64,Positive,favourite place hangout friend nearby sbrlove fry mocktails shake best item try peri peri cheesy fry makhni paneer heart shape pizza american cheese burger friend slider kwi cooler choco brownie freak shake xero degree casual fast food cafe serving american cuisine ultimate destination fingerlicking food
20,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,bakwas,1,Positive,bakwas
21,Xero Degrees,4.0,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"The staff is rude, they behave as if they are obliging on us & providing service & food for free. We ordered alfredo pasta, jain margarita pizza & fried wonton. Pasta & wonton were good but pizza was way to sweet. Upon confronting the staff their response was slow & made faces. They responded that we use ready-made sauces so it would taste sweet only in a rude way & didn't mention it at the time of placing the order. We do understand that servers are not responsible for taste of food but they should respond properly.",97,Positive,staff rude behave obliging providing service food free ordered alfredo pasta jain margarita pizza fried wonton pasta wonton good pizza way sweet upon confronting staff response slow made face responded use readymade sauce would taste sweet rude way didnt mention time placing order understand server responsible taste food respond properly
22,Cuppuccino,3.6,"Cafe, North Indian, Chinese, Mexican, Pizza, Pasta, Fast Food, Beverages",850,ahmedabad,very bad taste I hate it...it was not baked properly ,10,Positive,bad taste hate itit baked properly
23,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,there were two thick strands of hair in my sandwich ,10,Positive,two thick strand hair sandwich
24,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,too late,2,Positive,late
25,Fyro,3.0,"Cafe, Coffee, Shake, Beverages",600,ahmedabad,"Worst service, the staff doesn’t hear your order well and then don’t even have the courtesy to talk to their customer well and get their order replaced.👎🏻",27,Neutral,worst service staff doesnt hear order well dont even courtesy talk customer well get order replaced
26,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Very bad salad. Stale refried chicken. Had not expected such bad quality food from this place. Tasted and then ordered something else from upper crust.,25,Positive,bad salad stale refried chicken expected bad quality food place tasted ordered something else upper crust
27,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,the rosti is undercooked and there is no spoon or fork. how to eat it in an office,18,Positive,rosti undercooked spoon fork eat office
28,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,More pieces of avocado and placement of pieces would be yumm ,11,Positive,piece avocado placement piece would yumm
29,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Bad taste,2,Positive,bad taste
30,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,Great delivery & quality,4,Positive,great delivery quality
31,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,little overpriced may be due to zomato other than that it's good.,12,Positive,little overpriced may due zomato good
32,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,really poor food quality.... totally waste of money .I'll never suggest this to anyone ,14,Positive,really poor food quality totally waste money ill never suggest anyone
33,Big Blue Bistro,,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Chinese, North Indian","1,000",ahmedabad,it wasn't kathi roll at all .. it was Frankie ,10,Positive,wasnt kathi roll frankie
34,Silver Fork Cafe & Restaurant,,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"""I had an amazing experience at Silver Fork! The hotel's 5-star service truly exceeded my expectations. The dinner was outstanding, and the food was delicious - every dish was a culinary delight. . I recommend Silver Fork for anyone looking food good food",43,Positive,amazing experience silver fork hotel star service truly exceeded expectation dinner outstanding food delicious every dish culinary delight recommend silver fork anyone looking food good food
35,Silver Fork Cafe & Restaurant,,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"Food is very good. Ambience  is good. No waiting periode. Enough space to enjoy,  specially  suitable  for Birthday party,  Marriage Anniversary  party,  Angagement party etc. ",25,Positive,food good ambience good waiting periode enough space enjoy specially suitable birthday party marriage anniversary party angagement party etc
36,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,Pasta were a little too spicy. Please make less spicy food next time.,13,Positive,pasta little spicy please make less spicy food next time
37,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,PoorI ordered jain & they delivered with onionsI used to try new things that’s why I ordered but disappointed,19,Positive,poori ordered jain delivered onionsi used try new thing thats ordered disappointed
38,Wagh Bakri Tea Lounge,4.0,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,very nice packing and food ,5,Positive,nice packing food
39,Wagh Bakri Tea Lounge,4.0,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,Taking of way of this guy very bad to the zomato customer,12,Positive,taking way guy bad zomato customer
40,Rasa Restro Cafe,4.1,"Cafe, North Indian, Italian, Mexican, Thai, Biryani, Desserts, Beverages","1,100",ahmedabad,add more creamy gravy in pasto pasta it's only pasta gravy are not there ,14,Positive,add creamy gravy pasto pasta pasta gravy
41,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Very bad iced AmericanoDon’t order from here,7,Positive,bad iced americanodont order
42,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Ordered from here thrice. I love what they offer. Price is very reasonable. They have shifted from Sindhu Bhavan Road to now opposite Alpha Mall. Order without a second thought.. ,30,Positive,ordered thrice love offer price reasonable shifted sindhu bhavan road opposite alpha mall order without second thought
43,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,There is no ice in peach iced tea in fact it is not even cold,15,Positive,ice peach iced tea fact even cold
44,Aarambh Cafe,,"Cafe, Coffee, South Indian, Street Food",500,ahmedabad,"Nestled within the CEE campus in the Thaltej area of Ahmedabad, Café Aarambh offers a tranquil and serene ambience, providing a much-needed respite from the hustle and bustle of the city. While this café remains relatively unknown to many city dwellers, its peaceful atmosphere makes it a hidden gem worth discovering.However, when it comes to the culinary aspect, Café Aarambh falls short of expectations. The food offerings, unfortunately, do not match the serene ambience. The taste of the dishes is rather average, leaving much to be desired, especially considering the price one pays. The limited food options available might disappoint those looking for a diverse range of choices.One...read more",109,Positive,nestled within cee campus thaltej area ahmedabad caf aarambh offer tranquil serene ambience providing muchneeded respite hustle bustle city caf remains relatively unknown many city dweller peaceful atmosphere make hidden gem worth discoveringhowever come culinary aspect caf aarambh fall short expectation food offering unfortunately match serene ambience taste dish rather average leaving much desired especially considering price one pay limited food option available might disappoint looking diverse range choicesoneread
45,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"Extreme oily,  Veg puff was not at all fresh.",9,Neutral,extreme oily veg puff fresh
46,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"The cake was stale, and the box's smell was coming.",10,Neutral,cake stale box smell coming
47,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"it's a good place and I can vouch for their cheesecakes but they cheat you, first of all their dine in price for cheesecake is 200 and in Zomato they show 300. I have Zomato gold and they would refuse me to pay through it by saying the Zomato 20% discount is only on menu but when you see their dining page, the first photo they have is of a cheesecake! hypocrisy? I love their cheesecakes but i don't like cheaters so I'd not go there again!",87,Neutral,good place vouch cheesecake cheat first dine price cheesecake zomato show zomato gold would refuse pay saying zomato discount menu see dining page first photo cheesecake hypocrisy love cheesecake dont like cheater
48,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,must visit ,2,Positive,must visit
49,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,Very very expensive & Agli oily pasta were not good at all. Portion size was very small. I highly do not recommend to order from this place.,27,Positive,expensive agli oily pasta good portion size small highly recommend order place
50,Smash Cafe,4.1,"Cafe, Fast Food, North Indian, Beverages",600,ahmedabad,Excellent food. Menu is extensive and seasonal to a particularly high standard. Highly recommended. ,14,Positive,excellent food menu extensive seasonal particularly high standard highly recommended
51,Brewers - The Coffee Bar,3.9,"Cafe, Fast Food, Italian, North Indian, Mexican, Street Food, Salad, Beverages",350,ahmedabad,Half of the coffee was spilled in the bag.,9,Positive,half coffee spilled bag
52,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,due to unavailability my order was replaced to burger which was not also good.. aloo tikki burger's bun are grilled/heated on pan with ghee and as per the taste tikki felt like frozen tikki and not proper amount of sauces.,40,Neutral,due unavailability order replaced burger also good aloo tikki burger bun grilledheated pan ghee per taste tikki felt like frozen tikki proper amount sauce
53,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,"Extremely less quantity according to the price, one person doing cooking, serving everything, thus too long waiting time. ",18,Neutral,extremely less quantity according price one person cooking serving everything thus long waiting time
54,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,Worst,1,Neutral,worst
55,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Won’t order from here again . Regret,7,Neutral,wont order regret
56,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,"Recently visited this newly opened place near Vastrapur to try their food. I had tried their special Mocktail, Maxican sizzler, stuffed mushroom and sizzling hot brownie. Food was delicious and freshly made. They have some discount and BOGo offers going on for January month. Must check and take benefits of it..",51,Neutral,recently visited newly opened place near vastrapur try food tried special mocktail maxican sizzler stuffed mushroom sizzling hot brownie food delicious freshly made discount bogo offer going january month must check take benefit
57,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Best food!!!Thai was excellent as well as punjabi!!A must visit place for foodies!!!Nice and cozy place to sit with friends and family!!,22,Neutral,best foodthai excellent well punjabia must visit place foodiesnice cozy place sit friend family
58,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,A place to visit for food lovers in Ahmedabad . Such and appealing vibe the place had with delicious food by the side.They had one of the best North Indian food I hadAlso they have wide range of cuisines available along with unique starters from Indian to Italian and Mexican cuisineDo visit this place with your friends and familyMy recommendationThai curry with herb riceCheese balls,65,Neutral,place visit food lover ahmedabad appealing vibe place delicious food sidethey one best north indian food hadalso wide range cuisine available along unique starter indian italian mexican cuisinedo visit place friend familymy recommendationthai curry herb ricecheese ball
59,Shambhu's Coffee Bar,3.3,"Cafe, Shake, Beverages, Sandwich, Pizza, Fast Food, Desserts",500,ahmedabad,I went here for the second time with my husband; have ordered ‘Dark Fantasy’ and ‘Brownie with Coffee’ thik shakes. Both were good in taste - not amazing but regular in taste. The ambience is also average - they have indoor as well as outdoor sitting which are not much maintained. Even their Gpay was not working which was shocking and a downside.,63,Neutral,went second time husband ordered dark fantasy brownie coffee thik shake good taste amazing regular taste ambience also average indoor well outdoor sitting much maintained even gpay working shocking downside
60,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,Good vibes in this cafe. Liked food quality. Beverages are too good and worth trying. Open cafe with good music and sometimes events ,23,Positive,good vibe cafe liked food quality beverage good worth trying open cafe good music sometimes event
61,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Avoid visiting this place.They've been degrading with time.Food is creep, cringe.Just hyped somehow, totally avoid ",15,Positive,avoid visiting placetheyve degrading timefood creep cringejust hyped somehow totally avoid
62,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Super friendly place with the best interior design and spacious enough to accommodate many at a time. Love the vibe it creates. Amazing items on the menu, best for nightlife in Ahmedabad 👌🏻",33,Positive,super friendly place best interior design spacious enough accommodate many time love vibe creates amazing item menu best nightlife ahmedabad
63,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,vary small ,2,Positive,vary small
64,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Good and Fresh staff members,5,Positive,good fresh staff member
65,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Nice place for food and specially Location is nice and all shakes are awesome food is superb will inform to everyone visit this place onces.,25,Positive,nice place food specially location nice shake awesome food superb inform everyone visit place onces
66,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,I don't know but the original taste of badam chai is missing out since last 2 days.... not sure what's wrong,21,Positive,dont know original taste badam chai missing since last day sure whats wrong
67,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,Badam shake is not good not bad. It's taste must be improve,12,Positive,badam shake good bad taste must improve
68,Busy Beans,3.9,"Cafe, Beverages, Fast Food",500,ahmedabad,Pure coffee  beans test and delicious...Good quality and packaging...Must try Blueberry Orea Shake...And if Coffee  lover than order Hazelnut  cold coffee....,21,Positive,pure coffee bean test deliciousgood quality packagingmust try blueberry orea shakeand coffee lover order hazelnut cold coffee
69,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Sugarless coffee and not send with sugar totally wasted of money,11,Positive,sugarless coffee send sugar totally wasted money
70,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Nice food 👍,3,Positive,nice food
71,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,worst chess used ... it's look like wee eat aata ..,11,Positive,worst chess used look like wee eat aata
72,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,so they were refusing to accept payment through Zomato.. our bill value wad 710 rupees but cafe owner saying that bill value should be 2000 or more fore making payment through Zomato. is this really a condition. This is not right at all.. ,43,Positive,refusing accept payment zomato bill value wad rupee cafe owner saying bill value fore making payment zomato really condition right
73,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,"A perfect open air cafe in ahmedabad. Live IPL screening everyday. They have refreshing mocktails. I tried their mocktails, pizza, pasta, and bowl. Food was delicious and quality is also amazing. They have different different sitting arrangements. A perfect place for plan a date or hangout with your friends.",49,Positive,perfect open air cafe ahmedabad live ipl screening everyday refreshing mocktails tried mocktails pizza pasta bowl food delicious quality also amazing different different sitting arrangement perfect place plan date hangout friend
74,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,Coffee was very watery and tasteless,6,Positive,coffee watery tasteless
75,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,"If you're searching for a cafe that offers delicious, healthy alternatives to traditional pizza and pasta, look no further. 😍I recently had the pleasure of visiting a healthy cafe that prides itself on using multigrain and whole wheat ingredients in their pizza and pasta dishes. I must say, I was thoroughly impressed with both the quality of the food and the commitment to healthier options. Here's my detailed review:Ambiance:The cafe had a cozy and inviting atmosphere, with a modern yet warm decor. The use of natural materials and earthy colors created a pleasant dining environment. The seating arrangements were comfortable, and the staff was friendly and attentive, making for an...read more",111,Positive,youre searching cafe offer delicious healthy alternative traditional pizza pasta look recently pleasure visiting healthy cafe pride using multigrain whole wheat ingredient pizza pasta dish must say thoroughly impressed quality food commitment healthier option here detailed reviewambiancethe cafe cozy inviting atmosphere modern yet warm decor use natural material earthy color created pleasant dining environment seating arrangement comfortable staff friendly attentive making anread
76,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,"I had brocoli soup previously from same restaurant, but today taste was totally different.it has more salt and pepper and some time it taste too salty and due to too much black pepper it made spicy ",36,Positive,brocoli soup previously restaurant today taste totally differentit salt pepper time taste salty due much black pepper made spicy
77,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad, superb quality and freshly made ,5,Positive,superb quality freshly made
78,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,superb experience.  better than any Cafe.  bet for shakes and cold coffee.  I tried dine in also and food and ambiance was unmatched.  I recommend cold coffee shake and periperi fries. you can also taste pizza sandwich and burger average to best taste.,43,Positive,superb experience better cafe bet shake cold coffee tried dine also food ambiance unmatched recommend cold coffee shake periperi fry also taste pizza sandwich burger average best taste
79,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,Garlic bread perfection  The Garlic Bread was a wonderful addition to my meal. The delivery was quick  and the bread arrived fresh and aromatic. ,24,Positive,garlic bread perfection garlic bread wonderful addition meal delivery quick bread arrived fresh aromatic
80,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad, Hub Chilli Burger  fiery treat for my taste buds. The delivery was quick and the burger was well-packed. The spicy patty  along with the fresh lettuce created a perfect balance of flavors,32,Positive,hub chilli burger fiery treat taste bud delivery quick burger wellpacked spicy patty along fresh lettuce created perfect balance flavor
81,Shambhus Cafe,,"Cafe, Fast Food",700,ahmedabad,Way taste was different as compared to prahladnagar garden cafe sambhus…most bogus literally iced crush was coming n last choclate topping was also too bad as if it was older one.,31,Positive,way taste different compared prahladnagar garden cafe sambhusmost bogus literally iced crush coming last choclate topping also bad older one
82,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,Wrong food item delivered.,4,Positive,wrong food item delivered
83,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,nice i loved it ,4,Positive,nice loved
84,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,good ,1,Positive,good
85,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,Food and packing both was pathetic,6,Positive,food packing pathetic
86,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,Not worth the cost. Taste was completely bland with 88% green capsicum 12% onion.,14,Positive,worth cost taste completely bland green capsicum onion
87,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,"quality was veryyy veryyyy bad, i’ll never order from this again",11,Positive,quality veryyy veryyyy bad ill never order
88,Cafe After Hours,,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,I said medium spicy with please but very spicy. what the meaning of giving cooking instruction... really upsetting situation ,19,Positive,said medium spicy please spicy meaning giving cooking instruction really upsetting situation
89,Cafe After Hours,,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,awesome food and packaging ,4,Positive,awesome food packaging
90,Edr Cafe,,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,I went to have some food but that was bit costly then i asked for Jamun shots but manager replied that its seasonal. (bhai jamun ki season to chal rhi he) didnt argue n left.,35,Positive,went food bit costly asked jamun shot manager replied seasonal bhai jamun season chal rhi didnt argue left
91,Edr Cafe,,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,WORST CAFE OF AHMEDABAD FOR SURE!,6,Positive,worst cafe ahmedabad sure
92,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,testy food new amazing food test,6,Positive,testy food new amazing food test
93,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,good ,1,Positive,good
94,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,Best food and place so good with dance place and food test of mumbai 😋 yummy best place in naroda so yummy,22,Positive,best food place good dance place food test mumbai yummy best place naroda yummy
95,Cafe Kyzo,4.1,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Burger, Fast Food",600,ahmedabad,"The burgers are juicy, crisp, authentic and tasty, something i had been searching for a while. Definitely a perfect combo with fresh mocktails and coffee. Loved it.",27,Positive,burger juicy crisp authentic tasty something searching definitely perfect combo fresh mocktails coffee loved
